"Date","Price","Open","High","Low"
"Oct 21, 2019","10503.64","10567.47","10576.55","10486.31"
"Oct 18, 2019","10552.44","10560.78","10578.62","10516.55"
"Oct 17, 2019","10559.12","10566.50","10597.92","10478.84"
"Oct 16, 2019","10569.60","10490.72","10587.43","10485.19"
"Oct 15, 2019","10488.89","10548.80","10606.89","10456.87"
"Oct 14, 2019","10553.16","10555.38","10593.16","10474.11"
"Oct 11, 2019","10555.09","10632.10","10675.83","10450.42"
"Oct 10, 2019","10630.68","10735.54","10820.18","10611.72"
"Oct 09, 2019","10737.99","10752.72","10795.23","10682.95"
"Oct 08, 2019","10756.68","10677.80","10780.50","10603.45"
"Oct 07, 2019","10675.34","10756.50","10790.22","10650.58"
"Oct 04, 2019","10755.41","10758.99","10800.75","10701.16"
"Oct 03, 2019","10758.99","10722.09","10856.55","10692.86"
"Oct 02, 2019","10722.06","10574.35","10758.12","10538.47"
"Oct 01, 2019","10574.31","10523.66","10631.51","10427.67"
"Sep 30, 2019","10525.23","10662.83","10687.20","10466.90"
"Sep 27, 2019","10662.35","10729.58","10758.59","10596.26"
"Sep 26, 2019","10733.14","10727.22","10786.08","10709.09"
"Sep 25, 2019","10725.05","10899.64","10923.10","10707.58"
"Sep 24, 2019","10901.58","10839.25","10930.67","10780.51"
"Sep 23, 2019","10836.49","10755.98","10866.18","10719.64"
"Sep 20, 2019","10756.33","10638.88","10758.39","10625.39"
"Sep 19, 2019","10637.01","10585.10","10671.30","10548.26"
"Sep 18, 2019","10586.73","10644.48","10707.63","10517.48"
"Sep 17, 2019","10647.35","10587.81","10689.21","10576.51"
"Sep 16, 2019","10589.43","10636.15","10701.35","10572.05"
"Sep 13, 2019","10539.10","10617.99","10683.16","10516.53"
"Sep 12, 2019","10612.98","10650.80","10797.91","10569.42"
"Sep 11, 2019","10655.25","10566.77","10663.48","10562.57"
"Sep 10, 2019","10567.98","10673.77","10686.23","10555.89"
"Sep 09, 2019","10675.44","10721.93","10796.68","10666.93"
"Sep 06, 2019","10723.00","10861.94","10875.33","10689.23"
"Sep 05, 2019","10859.92","11089.62","11093.91","10800.14"
"Sep 04, 2019","11093.49","11112.76","11133.86","10976.02"
"Sep 03, 2019","11109.34","10970.70","11126.74","10925.86"
"Sep 02, 2019","10977.32","10875.59","10981.89","10875.59"
"Aug 30, 2019","10881.32","10916.42","10967.82","10859.45"
"Aug 29, 2019","10914.65","11025.23","11115.29","10854.65"
"Aug 28, 2019","11027.00","11044.70","11082.66","10968.82"
"Aug 27, 2019","11043.83","10924.02","11063.75","10906.15"
"Aug 26, 2019","10922.82","10917.99","11043.18","10889.56"
"Aug 23, 2019","10834.25","10618.34","10856.43","10585.63"
"Aug 22, 2019","10605.64","10615.25","10660.38","10570.04"
"Aug 21, 2019","10610.26","10638.83","10650.83","10562.61"
"Aug 20, 2019","10638.68","10544.78","10649.93","10525.93"
"Aug 19, 2019","10543.69","10642.08","10656.19","10519.62"
"Aug 16, 2019","10659.59","10714.31","10745.78","10594.25"
"Aug 15, 2019","10713.84","10650.94","10739.92","10597.75"
"Aug 14, 2019","10652.14","10572.03","10705.95","10492.23"
"Aug 13, 2019","10575.05","10671.47","10848.88","10456.19"
"Aug 12, 2019","10667.68","10574.90","10712.22","10510.99"
"Aug 09, 2019","10574.89","10575.75","10634.82","10548.58"
"Aug 08, 2019","10574.03","10600.30","10638.60","10501.20"
"Aug 07, 2019","10600.15","10356.72","10664.46","10342.50"
"Aug 06, 2019","10360.47","10320.83","10397.32","10252.73"
"Aug 05, 2019","10322.39","10002.52","10368.70","9976.85"
"Aug 02, 2019","9999.18","9972.55","10051.25","9907.68"
"Aug 01, 2019","9970.62","9732.75","9974.14","9670.02"
"Jul 31, 2019","9734.16","9851.27","9869.67","9716.88"
"Jul 30, 2019","9850.00","9840.18","9869.14","9798.39"
"Jul 29, 2019","9836.17","9761.88","9845.50","9757.82"
"Jul 26, 2019","9759.07","9723.85","9799.81","9716.02"
"Jul 25, 2019","9721.23","9798.61","9853.92","9696.27"
"Jul 24, 2019","9798.77","9753.24","9826.25","9744.58"
"Jul 23, 2019","9752.40","9804.31","9830.92","9734.18"
"Jul 22, 2019","9804.57","9807.85","9836.88","9784.39"
"Jul 19, 2019","9808.95","9947.49","9995.22","9773.69"
"Jul 18, 2019","9949.24","9805.36","9963.00","9733.16"
"Jul 17, 2019","9805.26","9666.49","9808.01","9628.11"
"Jul 16, 2019","9668.33","9726.07","9754.69","9633.83"
"Jul 15, 2019","9726.03","9740.99","9767.48","9680.49"
"Jul 12, 2019","9740.81","9643.47","9749.25","9641.57"
"Jul 11, 2019","9644.39","9751.75","9801.51","9627.90"
"Jul 10, 2019","9753.33","9623.08","9753.33","9567.25"
"Jul 09, 2019","9626.67","9609.58","9645.72","9549.08"
"Jul 08, 2019","9603.58","9651.20","9698.00","9578.41"
"Jul 05, 2019","9647.91","9729.51","9788.23","9551.33"
"Jul 04, 2019","9727.67","9766.18","9777.64","9692.92"
"Jul 03, 2019","9762.29","9745.92","9875.98","9718.42"
"Jul 02, 2019","9749.86","9480.62","9758.52","9477.13"
"Jul 01, 2019","9484.84","9565.92","9598.40","9461.95"
"Jun 28, 2019","9678.75","9696.92","9799.19","9663.75"
"Jun 27, 2019","9695.65","9696.25","9713.03","9629.27"
"Jun 26, 2019","9692.27","9796.28","9798.97","9644.81"
"Jun 25, 2019","9793.60","9756.49","9901.07","9715.32"
"Jun 24, 2019","9762.22","9632.32","9774.17","9626.33"
"Jun 21, 2019","9615.57","9517.01","9652.55","9505.50"
"Jun 20, 2019","9513.86","9386.22","9549.75","9367.52"
"Jun 19, 2019","9391.07","9295.87","9405.12","9258.08"
"Jun 18, 2019","9295.89","9281.69","9383.50","9258.33"
"Jun 17, 2019","9278.91","9293.26","9302.55","9226.01"
"Jun 14, 2019","9291.11","9291.41","9404.50","9265.15"
"Jun 13, 2019","9290.58","9225.65","9297.73","9213.68"
"Jun 12, 2019","9225.07","9172.97","9265.25","9167.00"
"Jun 11, 2019","9170.81","9203.00","9218.00","9121.23"
"Jun 10, 2019","9203.78","9226.24","9239.19","9181.55"
"Jun 07, 2019","9263.45","9232.50","9317.48","9193.73"
"Jun 06, 2019","9228.46","9194.26","9261.92","9174.91"
"Jun 05, 2019","9191.52","9155.77","9281.64","9149.17"
"Jun 04, 2019","9156.77","9148.23","9190.80","9117.82"
"Jun 03, 2019","9147.43","9026.75","9170.15","9020.92"
"May 31, 2019","9015.51","8896.78","9024.08","8891.21"
"May 30, 2019","8894.79","8851.56","8901.29","8803.49"
"May 29, 2019","8850.50","8839.88","8890.55","8836.25"
"May 28, 2019","8841.50","8867.67","8888.35","8822.92"
"May 27, 2019","8867.94","8871.43","8883.55","8854.11"
"May 24, 2019","8866.09","8867.84","8883.84","8836.28"
"May 23, 2019","8871.08","8797.79","8900.44","8793.34"
"May 22, 2019","8796.72","8798.39","8818.32","8783.00"
"May 21, 2019","8799.33","8833.39","8834.84","8766.25"
"May 20, 2019","8832.85","8841.57","8849.69","8800.57"
"May 17, 2019","8838.89","8855.72","8905.06","8815.51"
